SeqID	Percent_of_Total_Reads_Assigned_to_Taxon	Reads_Assigned_to_Cryptosporidium	Percent_of_Genome_with_20X	Genome_Fraction	N50	Total_Alignment_Length	Number_of_Contigs	Total_Assembly_Length	Largest_Contig	Missasemblies
Sample_1	99.87	401788	99.313	99.214	67207	9014980	301	9065206	214135	5
Sample_2	99.88	220627	98.702	99.182	61377	9012711	324	9063269	333080	7
Sample_3	96.01	166290	94.140	98.998	61366	8995748	347	9047215	333058	6
Sample_4	99.83	101221	72.566	98.131	28219	8915834	744	8960051	133845	2
Sample_5	99.81	75667	54.703	97.572	18864	8864226	1003	8904350	87654	1
Sample_6	77.96	193521	78.454	94.221	16937	8560360	1412	8596398	109689	10
Sample_7	72.04	70964	59.760	92.073	12217	8364960	1838	8392506	65785	17
Sample_8	99.59	17957	12.838	88.192	3389	8011360	3447	8037329	24126	9
Sample_9	92.93	64288	56.423	84.145	5366	7644707	2928	7654896	35174	31
Sample_10	96.72	55312	51.946	79.102	4902	7185779	2838	7208940	50650	36
Sample_11	91.84	15042	4.924	71.044	1391	6453726	5249	6460790	10924	11
Sample_12	81.80	16773	8.732	69.984	1431	6357466	5138	6368661	10715	11
Sample_13	53.14	12993	1.790	63.5	1262	5768451	5080	5776527	8275	12
Sample_14	76.42	274896	0.826	51.85	1097	4710132	4612	4712992	6239	61
Sample_15	37.83	267402	2.227	40.296	968	3660454	3908	3665179	5722	72
Sample_16	44.25	220434	0.988	35.955	1007	3266197	3412	3271398	6481	58
Sample_17	57.36	216715	7.713	25.386	1065	2306121	2301	2319518	7536	46
